,Cultivar,Alcohol,Flavanoids,Color intensity,OD280/OD315
87,2,12.08,2.29,2.9,3.19
88,2,11.79,2.24,3.0,2.44
89,3,12.25,0.78,8.21,2.0
90,3,12.87,0.65,7.65,1.86
91,2,12.08,1.59,1.74,3.21
92,2,12.08,1.58,2.2,2.72
93,2,12.16,1.69,2.45,2.26
94,1,13.05,2.43,4.25,2.51
95,2,12.64,1.41,5.75,1.59
96,1,14.38,3.17,4.9,3.44
97,2,12.04,1.75,2.6,2.57
98,2,12.43,3.15,3.94,2.84
99,3,12.7,1.2,5.0,1.29
100,3,13.16,0.55,4.0,1.68
101,1,13.28,2.68,4.6,2.78
102,1,13.39,2.94,4.8,3.22
103,3,12.58,0.58,7.6,1.55
104,1,12.85,2.37,3.93,3.63
105,2,12.0,1.25,3.6,2.65
106,2,13.67,1.79,3.8,2.46
107,2,13.03,2.03,4.6,2.48
108,3,13.5,1.57,8.6,1.3
109,3,12.45,0.58,7.5,1.73
110,1,14.19,3.93,8.7,2.82
111,2,12.72,1.76,3.3,2.42
112,2,11.96,2.14,3.21,3.13
113,1,13.83,2.99,5.6,3.37
114,2,11.84,1.32,2.65,2.52
115,1,14.23,3.06,5.64,3.92
116,1,13.48,2.98,5.1,3.47
117,3,12.82,0.66,10.26,1.75
118,2,13.34,1.3,3.17,1.93
119,1,13.24,2.69,4.32,2.93
120,2,12.25,2.03,3.4,3.17
121,1,14.21,2.65,5.24,3.33
122,2,12.7,2.55,2.57,3.13
123,1,13.77,2.79,6.3,2.93
124,3,13.23,0.83,10.52,1.51
125,2,12.0,1.64,1.28,3.05
126,3,14.16,0.7,9.7,1.71
127,1,13.76,2.74,5.4,3.0
128,1,13.74,2.9,5.85,3.2
129,1,13.94,3.54,8.9,3.1
130,2,12.08,1.5,2.4,2.27
131,2,12.77,1.25,3.4,2.12
132,1,13.05,3.0,5.04,3.35
133,2,12.6,1.36,2.45,2.77
134,1,14.12,2.43,5.0,2.82
135,1,14.1,2.92,6.2,2.75
136,3,12.79,1.36,10.8,1.47
137,1,13.58,3.19,6.9,2.88
138,2,11.46,2.58,2.9,2.81
139,1,14.06,2.51,5.05,3.58
140,3,13.45,0.92,10.68,1.56
141,3,12.25,0.47,3.85,1.27
142,1,14.06,3.17,5.65,3.71
143,1,14.22,3.04,5.1,3.53
144,2,12.47,2.27,2.6,2.63
145,1,13.88,3.56,5.43,3.56
146,1,14.3,3.14,6.2,2.65
147,2,11.84,2.21,3.05,3.08
148,3,13.58,0.84,8.66,1.8
149,2,13.11,3.18,5.3,3.18
150,3,13.78,0.68,9.58,1.68
151,2,13.05,2.65,2.6,3.1
152,3,12.81,1.09,5.7,1.36
153,1,14.02,2.33,4.7,3.59
154,1,13.82,3.74,7.05,3.26
155,2,12.67,1.94,2.62,3.16
156,3,13.88,0.34,4.9,1.33
157,2,13.49,1.84,3.74,2.78
158,2,12.29,2.25,2.15,3.3
159,1,13.24,2.63,4.36,3.0
160,3,12.51,0.58,5.45,1.51
161,3,13.17,0.63,7.9,1.48
162,3,12.96,0.7,5.28,1.75
163,3,13.52,0.52,4.35,2.06
164,3,12.77,0.51,9.899999,1.63
165,1,14.2,3.39,6.75,2.85
166,2,12.29,1.02,3.05,1.82
167,2,12.33,1.85,3.4,2.31
168,1,13.5,2.61,3.52,3.82
169,3,13.62,0.8,4.4,2.05
170,1,13.41,2.68,4.28,3.0
171,2,12.34,2.11,2.8,3.38
172,2,12.29,2.99,2.3,2.83
173,1,14.75,3.69,5.4,2.73
174,2,11.76,2.03,3.8,2.5
175,2,12.51,1.92,2.94,3.57
176,1,13.73,3.25,5.7,2.71
177,2,13.05,1.59,4.8,2.01
