,Active,Rest,Sex,Hgt,Wgt
109,94,83,Male,66,110
110,96,74,Female,67,123
111,89,78,Male,67,145
112,74,61,Male,75,180
113,111,75,Male,71,180
114,81,72,Female,70,135
115,98,63,Male,78,238
116,99,78,Female,63,115
117,65,54,Male,74,190
118,95,80,Male,72,175
119,127,69,Female,64,135
120,76,50,Male,71,208
121,102,69,Female,63,110
122,88,67,Male,68,157
123,125,80,Female,61,110
124,72,63,Male,72,210
125,76,68,Female,62,137
126,112,64,Male,70,192
127,69,48,Female,67,140
128,101,82,Female,64,125
129,72,64,Female,63,145
130,112,79,Female,69,130
131,81,61,Male,68,160
132,90,73,Female,67,140
133,96,75,Female,66,135
134,66,59,Male,70,175
135,114,74,Female,67,150
136,71,66,Female,62,102
137,75,60,Male,70,160
138,102,76,Male,70,160
139,138,92,Female,64,120
140,85,71,Female,68,130
141,80,72,Male,70,180
142,107,68,Male,67,155
143,119,81,Female,61,130
144,98,68,Male,72,195
145,95,58,Male,74,225
146,95,63,Female,69,125
147,76,84,Male,71,155
148,96,74,Female,63,116
149,102,78,Male,71,154
150,82,68,Male,72,195
151,99,66,Female,65,145
152,80,70,Male,70,175
153,83,72,Male,73,175
154,102,84,Female,64,150
155,102,77,Male,72,187
156,106,78,Female,66,154
157,79,63,Female,68,140
158,80,60,Female,61,115
159,79,68,Male,69,163
160,110,80,Female,61,125
161,144,106,Female,62,140
162,80,73,Male,70,155
163,97,73,Female,67,115
164,60,55,Male,72,160
165,80,62,Male,72,193
166,108,63,Male,71,165
167,107,75,Female,67,150
168,51,54,Male,74,150
169,68,72,Male,70,205
170,80,63,Male,71,183
171,80,74,Female,68,139
172,60,58,Male,70,168
173,64,60,Male,71,165
174,87,70,Male,73,210
175,110,95,Male,69,180
176,110,88,Female,66,145
177,82,70,Male,70,185
178,154,82,Male,71,250
179,139,72,Female,63,112
180,86,58,Male,70,185
181,95,68,Female,64,145
182,112,90,Female,61,122
183,120,81,Male,71,150
184,79,69,Male,71,148
185,64,48,Male,69,170
186,84,60,Male,72,177
187,65,75,Female,65,145
188,60,54,Male,73,194
189,79,58,Female,67,150
190,79,53,Male,72,172
191,70,55,Female,68,150
192,75,71,Male,70,175
193,107,65,Female,65,128
194,78,68,Male,72,165
195,74,62,Male,73,180
196,80,68,Male,69,160
197,121,94,Male,74,250
198,120,58,Male,71,187
199,96,74,Female,70,151
200,75,73,Male,71,152
201,106,78,Female,61,122
202,88,63,Female,69,145
203,91,58,Female,68,143
204,98,70,Male,70,245
205,63,53,Female,65,107
206,95,63,Male,73,192
207,85,67,Female,70,165
208,83,55,Male,70,190
209,92,68,Female,67,135
210,81,64,Female,66,145
211,89,60,Female,62,136
212,103,73,Male,71,220
213,110,74,Female,66,130
214,78,66,Male,70,185
215,122,80,Male,67,150
216,122,98,Female,62,105
217,71,57,Female,65,145
218,65,61,Male,71,175
219,92,70,Male,76,260
220,93,71,Female,67,175
221,88,57,Male,76,230
222,90,73,Male,70,205
223,56,52,Female,66,145
224,95,70,Female,66,150
225,83,64,Male,68,135
226,97,55,Male,67,175
227,105,85,Female,64,150
228,82,74,Female,66,124
229,102,81,Male,69,172
230,87,67,Male,68,170
231,81,62,Male,68,151
