,Row,Col,Hgt97,Diam97,Spread97,Needles97,Spacing
279,R16,C10,196.0,2.9,110.0,70.0,15
280,R16,C11,333.0,6.3,185.0,85.0,15
281,R16,C12,320.0,4.2,163.0,70.0,15
282,R16,C13,270.0,3.1,137.0,60.0,15
283,R16,C14,424.0,8.8,213.0,72.0,15
284,R16,C15,401.0,6.6,230.0,70.0,15
285,R16,C16,467.0,8.8,247.0,77.0,15
286,R16,C17,387.0,5.6,200.0,70.0,15
287,R16,C18,306.0,3.7,140.0,70.0,15
288,R17,C1,364.0,5.1,151.0,66.0,15
289,R17,C2,412.0,7.4,203.0,90.0,15
290,R17,C3,438.0,8.1,259.0,68.0,15
291,R17,C4,333.0,5.3,195.0,97.0,15
292,R17,C5,330.0,5.6,153.0,82.0,15
293,R17,C6,393.0,7.0,254.0,88.0,15
294,R17,C7,178.0,1.65,94.0,60.0,15
295,R17,C8,236.0,3.7,159.0,71.0,15
296,R17,C9,311.0,4.3,158.0,74.0,15
297,R17,C10,357.0,7.2,207.0,74.0,15
299,R17,C12,306.0,4.7,157.0,66.0,15
300,R17,C13,390.0,7.8,267.0,74.0,15
301,R17,C14,348.0,8.2,209.0,100.0,15
302,R17,C15,379.0,8.7,264.0,63.0,15
303,R17,C16,383.0,6.9,164.0,65.0,15
304,R17,C17,264.0,7.2,165.0,69.0,15
305,R17,C18,372.0,7.8,201.0,80.0,15
307,R18,C2,228.0,2.7,114.0,70.0,15
308,R18,C3,281.0,4.1,152.0,78.0,15
309,R18,C4,275.0,3.6,122.0,81.0,15
310,R18,C5,403.0,6.7,227.0,81.0,15
311,R18,C6,374.0,6.5,206.0,82.0,15
312,R18,C7,284.0,4.1,156.0,85.0,15
313,R18,C8,301.0,5.8,170.0,74.0,15
315,R18,C10,260.0,5.9,177.0,73.0,15
316,R18,C11,343.0,7.2,186.0,85.0,15
317,R18,C12,314.0,5.4,163.0,82.0,15
318,R18,C13,309.0,5.0,171.0,68.0,15
319,R18,C14,379.0,7.9,248.0,84.0,15
320,R18,C15,342.0,7.3,170.0,63.0,15
321,R18,C16,395.0,7.4,209.0,85.0,15
322,R18,C17,315.0,5.3,194.0,83.0,15
323,R18,C18,334.0,4.7,200.0,82.0,15
324,R19,C1,269.0,4.2,135.0,75.7,15
326,R19,C3,351.0,6.7,256.0,88.0,15
327,R19,C4,445.0,8.6,217.0,77.0,15
328,R19,C5,401.0,8.3,243.0,88.0,15
330,R19,C7,301.0,6.4,180.0,80.0,15
333,R19,C10,227.0,3.5,116.0,71.0,15
334,R19,C11,180.0,2.7,97.0,110.0,15
335,R19,C12,137.0,0.8,65.0,42.0,15
337,R19,C14,356.0,4.7,209.0,72.0,15
338,R19,C15,384.0,7.7,228.0,85.0,15
339,R19,C16,353.0,7.1,196.0,77.0,15
340,R19,C17,434.0,7.9,196.0,77.0,15
341,R19,C18,299.0,4.1,143.0,95.0,15
343,R20,C2,294.0,4.9,186.0,93.0,15
344,R20,C3,339.0,5.1,274.0,88.0,15
345,R20,C4,235.0,3.1,123.0,73.0,15
346,R20,C5,362.0,7.0,237.0,95.0,15
348,R20,C7,326.0,6.0,202.0,89.0,15
349,R20,C8,321.0,4.6,191.0,82.0,15
351,R20,C10,273.0,3.8,158.0,65.0,15
354,R20,C13,307.0,4.5,165.0,89.0,15
355,R20,C14,408.0,7.0,247.0,90.0,15
356,R20,C15,414.0,8.3,192.0,102.0,15
357,R20,C16,427.0,7.7,207.0,87.0,15
358,R20,C17,313.0,7.1,155.0,80.0,15
359,R20,C18,334.0,3.6,139.0,77.0,15
361,R21,C2,372.0,5.2,173.0,67.0,15
362,R21,C3,108.0,0.8,64.0,51.0,15
365,R21,C6,364.0,7.8,212.0,105.0,15
366,R21,C7,316.0,4.3,154.0,75.0,15
367,R21,C8,385.0,6.9,213.0,77.0,15
368,R21,C9,325.0,6.8,190.0,65.0,15
369,R21,C10,390.0,7.3,194.0,96.0,15
370,R21,C11,436.0,7.0,208.0,86.0,15
371,R21,C12,402.0,7.4,188.0,72.0,15
372,R21,C13,414.0,8.1,240.0,76.0,15
373,R21,C14,403.0,7.8,186.0,68.0,15
374,R21,C15,365.0,7.3,198.0,70.0,15
375,R21,C16,473.0,6.7,200.0,65.0,15
376,R21,C17,381.0,7.5,207.0,90.0,15
377,R21,C18,294.0,3.4,199.0,75.0,15
379,R22,C2,345.0,7.1,220.0,96.0,15
380,R22,C3,319.0,4.3,100.0,50.0,15
381,R22,C4,210.0,3.8,100.0,84.0,15
382,R22,C5,92.0,6.5,60.0,77.0,15
384,R22,C7,408.0,8.0,250.0,80.0,15
385,R22,C8,366.0,7.4,330.0,90.0,15
387,R22,C10,297.0,4.3,202.0,71.0,15
388,R22,C11,390.0,7.4,213.0,82.0,15
389,R22,C12,398.0,7.9,215.0,71.0,15
390,R22,C13,358.0,6.6,202.0,67.0,15
391,R22,C14,383.0,6.7,194.0,59.0,15
392,R22,C15,355.0,7.0,248.0,74.0,15
393,R22,C16,402.0,5.8,199.0,65.0,15
394,R22,C17,403.0,7.7,162.0,75.0,15
395,R22,C18,240.0,2.8,109.0,79.0,15
396,R23,C1,314.0,5.0,192.0,65.0,15
397,R23,C2,401.0,6.8,200.0,74.0,15
399,R23,C4,133.0,1.9,98.0,66.0,15
400,R23,C5,420.0,7.5,275.0,91.0,15
401,R23,C6,367.0,7.9,204.0,87.0,15
402,R23,C7,387.0,7.4,203.0,70.0,15
403,R23,C8,223.0,3.9,135.0,75.0,15
404,R23,C9,262.0,3.6,134.0,51.0,15
406,R23,C11,308.0,5.6,171.0,80.0,15
408,R23,C13,353.0,4.6,179.0,79.0,15
409,R23,C14,388.0,7.7,236.0,65.0,15
411,R23,C16,303.0,6.1,193.0,72.0,15
412,R23,C17,384.0,8.2,182.0,68.0,15
413,R23,C18,381.0,6.8,183.0,66.0,15
414,R24,C1,238.0,3.3,123.0,65.0,10
415,R24,C2,379.0,6.2,215.0,92.0,10
416,R24,C3,426.0,7.5,236.0,78.0,10
417,R24,C4,198.0,2.9,145.0,80.0,10
419,R24,C6,422.0,7.6,200.0,84.0,10
420,R24,C7,407.0,7.8,202.0,75.0,10
421,R24,C8,272.0,5.0,180.0,95.0,10
422,R24,C9,286.0,5.6,116.0,61.0,10
423,R24,C10,370.0,7.8,230.0,82.0,10
424,R24,C11,260.0,3.2,125.0,60.0,10
425,R24,C12,441.0,8.6,246.0,96.0,10
427,R24,C14,310.0,6.0,186.0,100.0,10
429,R24,C16,269.0,5.1,126.0,89.0,10
430,R24,C17,197.0,2.0,107.0,65.0,10
431,R24,C18,177.0,1.8,120.0,72.0,10
433,R24,C20,165.0,1.8,85.0,62.0,10
434,R24,C21,368.0,7.2,210.0,60.0,10
435,R24,C22,319.0,6.1,193.0,66.0,10
436,R24,C23,321.0,5.7,170.0,70.0,10
437,R24,C24,318.0,5.7,192.0,62.0,10
438,R24,C25,366.0,5.8,195.0,77.0,10
439,R24,C26,359.0,7.2,230.0,69.0,10
440,R24,C27,351.0,5.4,194.0,76.0,10
444,R25,C1,279.0,3.5,140.0,110.0,10
445,R25,C2,325.0,4.29,190.0,71.0,10
446,R25,C3,425.0,6.5,282.0,74.0,10
447,R25,C4,469.0,7.7,230.0,100.0,10
448,R25,C5,464.0,6.6,220.0,75.0,10
449,R25,C6,327.0,5.15,150.0,65.0,10
450,R25,C7,170.0,2.45,95.0,75.0,10
451,R25,C8,427.0,8.35,203.0,65.0,10
452,R25,C9,270.0,3.6,147.0,82.0,10
453,R25,C10,351.0,7.12,205.0,55.0,10
454,R25,C11,414.0,7.7,210.0,65.0,10
455,R25,C12,467.0,8.3,230.0,84.0,10
456,R25,C13,375.0,7.7,222.0,80.0,10
457,R25,C14,334.0,5.7,235.0,95.0,10
460,R25,C17,202.0,2.7,160.0,80.0,10
462,R25,C19,355.0,7.1,202.0,83.0,10
463,R25,C20,304.0,4.6,132.0,70.0,10
464,R25,C21,287.0,4.1,150.0,92.0,10
465,R25,C22,357.0,6.2,216.0,92.0,10
466,R25,C23,392.0,6.5,230.0,95.0,10
467,R25,C24,202.0,2.3,120.0,92.0,10
468,R25,C25,166.0,1.4,80.0,68.0,10
469,R25,C26,345.0,5.4,120.0,62.0,10
470,R25,C27,454.0,6.3,150.0,85.0,10
471,R25,C28,128.0,1.1,50.0,75.0,10
472,R25,C29,379.0,7.0,205.0,73.0,10
473,R25,C30,375.0,5.1,140.0,78.0,10
474,R26,C1,363.0,6.7,211.0,65.0,10
476,R26,C3,357.0,5.4,162.0,58.0,10
477,R26,C4,384.0,6.6,197.0,43.0,10
478,R26,C5,501.0,8.4,236.0,72.0,10
479,R26,C6,201.0,2.1,105.0,85.0,10
480,R26,C7,312.0,5.2,203.0,81.0,10
481,R26,C8,356.0,8.0,240.0,60.0,10
482,R26,C9,424.0,6.8,235.0,60.0,10
483,R26,C10,367.0,6.4,203.0,69.0,10
484,R26,C11,477.0,7.8,244.0,60.0,10
485,R26,C12,381.0,7.7,210.0,80.0,10
486,R26,C13,339.0,6.7,165.0,67.0,10
489,R26,C16,257.0,5.0,185.0,57.0,10
490,R26,C17,360.0,5.7,190.0,65.0,10
491,R26,C18,267.0,4.2,161.0,82.0,10
492,R26,C19,323.0,5.8,150.0,75.0,10
493,R26,C20,325.0,5.7,120.0,71.0,10
494,R26,C21,294.0,5.4,184.0,60.0,10
495,R26,C22,376.0,6.2,170.0,82.0,10
496,R26,C23,442.0,8.6,218.0,78.0,10
497,R26,C24,381.0,8.2,199.0,82.0,10
498,R26,C25,399.0,5.7,194.0,70.0,10
499,R26,C26,313.0,7.4,156.0,61.0,10
500,R26,C27,408.0,8.0,230.0,89.0,10
501,R26,C28,448.0,9.0,248.0,120.0,10
502,R26,C29,360.0,4.4,150.0,69.0,10
503,R26,C30,412.0,6.0,220.0,75.0,10
504,R27,C1,297.0,3.8,152.0,76.0,10
506,R27,C3,310.0,4.9,142.0,88.0,10
507,R27,C4,458.0,7.6,237.0,82.0,10
508,R27,C5,408.0,6.7,162.0,85.0,10
509,R27,C6,454.0,7.8,225.0,84.0,10
510,R27,C7,420.0,7.7,171.0,66.0,10
511,R27,C8,258.0,3.06,121.0,71.0,10
513,R27,C10,299.0,6.0,199.0,75.0,10
514,R27,C11,267.0,3.9,152.0,73.0,10
515,R27,C12,373.0,6.0,228.0,70.0,10
516,R27,C13,386.0,8.3,238.0,85.0,10
517,R27,C14,366.0,6.8,224.0,70.0,10
519,R27,C16,266.0,2.6,151.0,74.0,10
520,R27,C17,251.0,4.1,170.0,60.0,10
521,R27,C18,257.0,5.0,170.0,76.0,10
522,R27,C19,386.0,7.5,197.0,81.0,10
524,R27,C21,376.0,6.7,180.0,72.0,10
525,R27,C22,456.0,7.2,253.0,67.0,10
526,R27,C23,388.0,7.0,183.0,92.0,10
528,R27,C25,291.0,4.2,161.0,70.0,10
529,R27,C26,371.0,6.6,204.0,86.0,10
530,R27,C27,190.0,1.1,118.0,69.0,10
531,R27,C28,345.0,7.5,218.0,63.0,10
532,R27,C29,229.0,3.13,149.0,75.0,10
533,R27,C30,364.0,6.9,150.0,91.0,10
534,R28,C1,278.0,3.5,146.0,26.0,10
535,R28,C2,433.0,6.9,173.0,87.0,10
536,R28,C3,421.0,7.2,227.0,77.0,10
537,R28,C4,444.0,7.1,208.0,74.0,10
538,R28,C5,476.0,9.4,237.0,83.0,10
539,R28,C6,510.0,8.1,212.0,82.0,10
540,R28,C7,462.0,8.6,185.0,81.0,10
541,R28,C8,383.0,6.7,188.0,79.0,10
542,R28,C9,163.0,2.1,97.0,78.0,10
543,R28,C10,413.0,6.4,193.0,94.0,10
544,R28,C11,270.0,3.3,146.0,69.0,10
545,R28,C12,357.0,5.6,204.0,80.0,10
546,R28,C13,399.0,6.4,225.0,99.0,10
548,R28,C15,218.0,2.2,97.0,62.0,10
549,R28,C16,327.0,5.3,198.0,79.0,10
550,R28,C17,115.0,1.83,68.0,53.0,10
551,R28,C18,326.0,5.4,170.0,99.0,10
552,R28,C19,449.0,8.2,247.0,84.0,10
553,R28,C20,423.0,7.7,209.0,72.0,10
554,R28,C21,464.0,10.4,308.0,100.0,10
556,R28,C23,297.0,6.1,187.0,87.0,10
558,R28,C25,442.0,8.3,230.0,85.0,10
559,R28,C26,415.0,6.7,258.0,83.0,10
560,R28,C27,329.0,6.7,258.0,83.0,10
561,R28,C28,238.0,3.8,120.0,69.0,10
562,R28,C29,365.0,6.8,176.0,85.0,10
564,R29,C1,367.0,7.7,190.0,79.0,10
565,R29,C2,331.0,6.7,187.0,91.0,10
566,R29,C3,359.0,6.0,167.0,89.0,10
567,R29,C4,414.0,7.9,233.0,90.0,10
568,R29,C5,444.0,8.6,243.0,82.0,10
570,R29,C7,310.0,5.5,181.0,60.0,10
571,R29,C8,356.0,5.0,158.0,81.0,10
573,R29,C10,388.0,6.9,211.0,98.0,10
574,R29,C11,429.0,9.3,264.0,78.0,10
575,R29,C12,362.0,6.4,196.0,68.0,10
576,R29,C13,380.0,6.0,206.0,73.0,10
579,R29,C16,343.0,7.2,207.0,70.0,10
580,R29,C17,419.0,8.0,220.0,82.0,10
581,R29,C18,460.0,9.1,270.0,81.0,10
582,R29,C19,356.0,7.2,197.0,75.0,10
584,R29,C21,381.0,8.16,235.0,100.0,10
585,R29,C22,303.0,5.2,174.0,64.0,10
586,R29,C23,337.0,7.0,224.0,67.0,10
587,R29,C24,276.0,4.3,135.0,78.0,10
589,R29,C26,428.0,7.3,220.0,76.0,10
590,R29,C27,409.0,6.8,255.0,106.0,10
592,R29,C29,319.0,6.0,185.0,89.0,10
593,R30,C1,410.0,7.6,195.0,85.0,10
594,R30,C2,366.0,5.8,170.0,95.0,10
595,R30,C3,397.0,6.8,193.0,79.0,10
596,R30,C4,353.0,6.4,164.0,80.0,10
597,R30,C5,511.0,8.0,245.0,94.0,10
598,R30,C6,391.0,7.1,184.0,78.0,10
599,R30,C7,284.0,3.6,121.0,103.0,10
600,R30,C8,125.0,0.6,60.0,60.0,10
602,R30,C10,448.0,7.2,228.0,82.0,10
603,R30,C11,434.0,8.0,274.0,83.0,10
604,R30,C12,464.0,8.6,255.0,76.0,10
605,R30,C13,325.0,6.0,191.0,86.0,10
606,R30,C14,331.0,6.1,210.0,98.0,10
610,R30,C18,342.0,4.7,196.0,81.0,10
611,R30,C19,158.0,1.4,144.0,69.0,10
612,R30,C20,322.0,5.2,255.0,98.0,10
613,R30,C21,362.0,6.7,240.0,85.0,10
614,R30,C22,401.0,8.6,231.0,73.0,10
616,R30,C24,300.0,4.2,140.0,83.0,10
617,R30,C25,297.0,4.9,132.0,79.0,10
618,R30,C26,244.0,3.3,120.0,78.0,10
619,R30,C27,266.0,3.7,114.0,77.0,10
621,R31,C1,103.0,1.03,96.0,84.0,10
622,R31,C2,284.0,3.5,132.0,60.0,10
623,R31,C3,398.0,7.92,219.0,70.0,10
624,R31,C4,407.0,5.6,177.0,74.0,10
625,R31,C5,425.0,7.3,238.0,74.0,10
626,R31,C6,419.0,7.4,200.0,91.0,10
630,R31,C10,376.0,7.6,212.0,65.0,10
633,R31,C13,211.0,2.8,100.0,74.0,10
634,R31,C14,377.0,6.6,210.0,62.0,10
635,R31,C15,344.0,5.3,167.0,78.0,10
636,R31,C16,370.0,6.5,230.0,74.0,10
637,R31,C17,408.0,7.3,245.0,77.0,10
638,R31,C18,183.0,2.4,110.0,87.0,10
639,R31,C19,328.0,4.5,120.0,75.0,10
642,R31,C22,321.0,4.5,143.0,78.0,10
