,BandNumber,Species,Wing,Hallux,Culmen,Tail
204,1177-04765,Red-tailed,382.0,31.6,24.9,218
205,1807-53142,Red-tailed,371.0,29.2,25.3,208
206,1177-04766,Red-tailed,370.0,30.2,25.4,212
207,2003-99372,Sharp-Shinned,194.0,14.8,12.8,152
208,1177-04767,Red-tailed,347.0,29.8,25.3,203
209,1177-04769,Red-tailed,392.0,28.1,26.3,196
210,1177-04771,Red-tailed,387.0,32.7,28.0,212
211,1177-04773,Red-tailed,370.0,31.4,26.9,201
212,1177-04774,Red-tailed,360.0,30.6,26.2,224
213,1177-04775,Red-tailed,366.0,27.2,25.3,199
214,1177-04776,Red-tailed,402.0,31.0,28.7,219
215,1207-53145,Red-tailed,199.0,32.1,28.7,222
